,slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
978,bitcoin,BTC,Bitcoin,2016-01-01,1,430.72,436.25,427.51,434.33,36278900.0,6473530000.0,0.7803,8.74
979,bitcoin,BTC,Bitcoin,2016-01-02,1,434.62,436.06,431.87,433.44,30096600.0,6533630000.0,0.3747,4.19
980,bitcoin,BTC,Bitcoin,2016-01-03,1,433.58,433.74,424.71,430.01,39633800.0,6519500000.0,0.5869,9.03
981,bitcoin,BTC,Bitcoin,2016-01-04,1,430.06,434.52,429.08,433.09,38477500.0,6468180000.0,0.7371,5.44
982,bitcoin,BTC,Bitcoin,2016-01-05,1,433.07,434.18,429.68,431.96,34522600.0,6515380000.0,0.5067,4.5
983,bitcoin,BTC,Bitcoin,2016-01-06,1,431.86,431.86,426.34,429.11,34042500.0,6498830000.0,0.5018,5.52
984,bitcoin,BTC,Bitcoin,2016-01-07,1,430.01,458.77,429.08,458.05,87562200.0,6472580000.0,0.9757,29.69
985,bitcoin,BTC,Bitcoin,2016-01-08,1,457.54,462.93,447.94,453.23,56993000.0,6888600000.0,0.3529,14.99
986,bitcoin,BTC,Bitcoin,2016-01-09,1,453.38,454.64,446.89,447.61,32278000.0,6828000000.0,0.0929,7.75
987,bitcoin,BTC,Bitcoin,2016-01-10,1,448.24,448.31,440.35,447.99,35995900.0,6752210000.0,0.9598,7.96
988,bitcoin,BTC,Bitcoin,2016-01-11,1,448.7,450.66,443.86,448.43,40450000.0,6761090000.0,0.6721,6.8
989,bitcoin,BTC,Bitcoin,2016-01-12,1,448.18,448.18,435.69,435.69,115607000.0,6755220000.0,0.0,12.49
990,bitcoin,BTC,Bitcoin,2016-01-13,1,434.67,435.19,424.44,432.37,173888000.0,6553350000.0,0.7377,10.75
991,bitcoin,BTC,Bitcoin,2016-01-14,1,432.29,433.32,427.85,430.31,43945500.0,6519110000.0,0.4497,5.47
992,bitcoin,BTC,Bitcoin,2016-01-15,1,430.25,430.25,364.33,364.33,153351000.0,6489870000.0,0.0,65.92
993,bitcoin,BTC,Bitcoin,2016-01-16,1,365.07,390.56,354.91,387.54,120352000.0,5507790000.0,0.9153,35.65
994,bitcoin,BTC,Bitcoin,2016-01-17,1,387.15,390.96,380.09,382.3,45319600.0,5842270000.0,0.2033,10.87
995,bitcoin,BTC,Bitcoin,2016-01-18,1,381.73,388.1,376.67,387.17,54403900.0,5761940000.0,0.9186,11.43
996,bitcoin,BTC,Bitcoin,2016-01-19,1,387.03,387.73,378.97,380.15,46819800.0,5843510000.0,0.1347,8.76
