,symbol,date,open,close,volume,high,low,spread,up/down
0,BTC,2016-01-01,430.72,434.33,36278900.0,436.25,427.51,8.74,UP
1,BTC,2016-01-02,434.62,433.44,30096600.0,436.06,431.87,4.19,DOWN
2,BTC,2016-01-03,433.58,430.01,39633800.0,433.74,424.71,9.03,DOWN
3,BTC,2016-01-04,430.06,433.09,38477500.0,434.52,429.08,5.44,UP
4,BTC,2016-01-05,433.07,431.96,34522600.0,434.18,429.68,4.5,DOWN
5,BTC,2016-01-06,431.86,429.11,34042500.0,431.86,426.34,5.52,DOWN
6,BTC,2016-01-07,430.01,458.05,87562200.0,458.77,429.08,29.69,UP
7,BTC,2016-01-08,457.54,453.23,56993000.0,462.93,447.94,14.99,DOWN
8,BTC,2016-01-09,453.38,447.61,32278000.0,454.64,446.89,7.75,DOWN
9,BTC,2016-01-10,448.24,447.99,35995900.0,448.31,440.35,7.96,DOWN
10,BTC,2016-01-11,448.7,448.43,40450000.0,450.66,443.86,6.8,DOWN
11,BTC,2016-01-12,448.18,435.69,115607000.0,448.18,435.69,12.49,DOWN
12,BTC,2016-01-13,434.67,432.37,173888000.0,435.19,424.44,10.75,DOWN
13,BTC,2016-01-14,432.29,430.31,43945500.0,433.32,427.85,5.47,DOWN
14,BTC,2016-01-15,430.25,364.33,153351000.0,430.25,364.33,65.92,DOWN
15,BTC,2016-01-16,365.07,387.54,120352000.0,390.56,354.91,35.65,UP
16,BTC,2016-01-17,387.15,382.3,45319600.0,390.96,380.09,10.87,DOWN
17,BTC,2016-01-18,381.73,387.17,54403900.0,388.1,376.67,11.43,UP
18,BTC,2016-01-19,387.03,380.15,46819800.0,387.73,378.97,8.76,DOWN
19,BTC,2016-01-20,379.74,420.23,121720000.0,425.27,376.6,48.67,UP
20,BTC,2016-01-21,419.63,410.26,68338000.0,422.88,406.3,16.58,DOWN
21,BTC,2016-01-22,409.75,382.49,91546600.0,410.41,375.28,35.13,DOWN
22,BTC,2016-01-23,382.43,387.49,56247400.0,394.54,381.98,12.56,UP
23,BTC,2016-01-24,388.1,402.97,54824800.0,405.49,387.51,17.98,UP
24,BTC,2016-01-25,402.32,391.73,59062400.0,402.32,388.55,13.77,DOWN
25,BTC,2016-01-26,392.0,392.15,58147000.0,397.77,390.57,7.2,UP
26,BTC,2016-01-27,392.44,394.97,47424400.0,396.84,391.78,5.06,UP
27,BTC,2016-01-28,395.15,380.29,59247900.0,395.5,379.74,15.76,DOWN
28,BTC,2016-01-29,380.11,379.47,86125300.0,384.38,365.45,18.93,DOWN
29,BTC,2016-01-30,378.87,378.25,30284400.0,380.92,376.49,4.43,DOWN
30,BTC,2016-01-31,378.29,368.77,37894300.0,380.35,367.83,12.52,DOWN
31,BTC,2016-02-01,369.35,373.06,51656700.0,378.07,367.96,10.11,UP
32,BTC,2016-02-02,372.92,374.45,40378700.0,375.88,372.92,2.96,UP
33,BTC,2016-02-03,374.65,369.95,45933400.0,374.95,368.05,6.9,DOWN
34,BTC,2016-02-04,370.17,389.59,69285500.0,391.61,369.99,21.62,UP
35,BTC,2016-02-05,388.9,386.55,43825000.0,391.09,385.57,5.52,DOWN
36,BTC,2016-02-06,386.59,376.52,49249300.0,386.63,372.39,14.24,DOWN
37,BTC,2016-02-07,376.51,376.62,37076300.0,380.87,374.9,5.97,UP
38,BTC,2016-02-08,376.76,373.45,47671100.0,379.88,373.33,6.55,DOWN
39,BTC,2016-02-09,373.42,376.03,55318500.0,377.25,372.9,4.35,UP
40,BTC,2016-02-10,376.15,381.65,85130900.0,385.48,375.78,9.7,UP
41,BTC,2016-02-11,382.11,379.65,74375600.0,383.13,376.4,6.73,DOWN
42,BTC,2016-02-12,379.69,384.26,67042800.0,384.95,379.6,5.35,UP
43,BTC,2016-02-13,384.64,391.86,61911700.0,391.86,384.64,7.22,UP
44,BTC,2016-02-14,392.93,407.23,74469800.0,407.23,392.93,14.3,UP
45,BTC,2016-02-15,407.57,400.19,74070500.0,410.38,397.75,12.63,DOWN
46,BTC,2016-02-16,401.43,407.49,73093100.0,408.94,401.43,7.51,UP
47,BTC,2016-02-17,407.66,416.32,83193600.0,421.17,406.78,14.39,UP
48,BTC,2016-02-18,416.57,422.37,76752600.0,426.0,415.64,10.36,UP
49,BTC,2016-02-19,422.73,420.79,55711300.0,423.1,417.6,5.5,DOWN
50,BTC,2016-02-20,421.6,437.16,93992100.0,441.98,421.6,20.38,UP
51,BTC,2016-02-21,437.77,438.8,89820700.0,448.05,429.08,18.97,UP
52,BTC,2016-02-22,438.99,437.75,85385200.0,439.05,432.92,6.13,DOWN
53,BTC,2016-02-23,438.25,420.74,85244900.0,439.86,417.82,22.04,DOWN
54,BTC,2016-02-24,420.96,424.95,67743700.0,425.55,413.91,11.64,UP
55,BTC,2016-02-25,425.04,424.54,70798000.0,427.72,420.42,7.3,DOWN
56,BTC,2016-02-26,424.63,432.15,61486000.0,432.15,421.62,10.53,UP
57,BTC,2016-02-27,432.84,432.52,41893600.0,434.23,428.1,6.13,DOWN
58,BTC,2016-02-28,432.57,433.5,53033400.0,435.68,423.82,11.86,UP
59,BTC,2016-02-29,433.44,437.7,60694700.0,441.51,431.69,9.82,UP
60,BTC,2016-03-01,437.92,435.12,74895800.0,439.65,432.32,7.33,DOWN
61,BTC,2016-03-02,435.13,423.99,74955300.0,435.92,423.99,11.93,DOWN
62,BTC,2016-03-03,423.91,421.65,100484000.0,425.37,419.41,5.96,DOWN
63,BTC,2016-03-04,421.84,410.94,90856100.0,425.18,410.94,14.24,DOWN
64,BTC,2016-03-05,410.78,400.57,135385000.0,411.26,394.04,17.22,DOWN
65,BTC,2016-03-06,400.52,407.71,91212500.0,411.91,395.78,16.13,UP
66,BTC,2016-03-07,407.76,414.32,85762400.0,415.92,406.31,9.61,UP
67,BTC,2016-03-08,414.46,413.97,70311700.0,416.24,411.09,5.15,DOWN
68,BTC,2016-03-09,413.89,414.86,70012300.0,416.03,411.61,4.42,UP
69,BTC,2016-03-10,414.74,417.13,81022900.0,417.51,413.25,4.26,UP
70,BTC,2016-03-11,417.24,421.69,73969700.0,423.93,417.01,6.92,UP
71,BTC,2016-03-12,421.61,411.62,92712900.0,421.8,410.09,11.71,DOWN
72,BTC,2016-03-13,411.65,414.06,74322800.0,416.6,411.64,4.96,UP
73,BTC,2016-03-14,414.2,416.44,95259400.0,416.68,414.2,2.48,UP
74,BTC,2016-03-15,416.39,416.83,66781700.0,418.13,414.99,3.14,UP
75,BTC,2016-03-16,416.89,417.01,65185800.0,417.69,415.91,1.78,UP
76,BTC,2016-03-17,417.89,420.62,83528600.0,421.0,417.89,3.11,UP
77,BTC,2016-03-18,420.55,409.55,104940000.0,420.55,406.14,14.41,DOWN
78,BTC,2016-03-19,409.26,410.44,58423000.0,410.98,407.23,3.75,UP
79,BTC,2016-03-20,410.4,413.75,45947900.0,414.63,410.4,4.23,UP
80,BTC,2016-03-21,413.42,413.31,61655400.0,413.42,410.38,3.04,DOWN
81,BTC,2016-03-22,413.13,418.09,66813300.0,418.38,412.53,5.85,UP
82,BTC,2016-03-23,418.16,418.04,61444200.0,419.27,417.36,1.91,DOWN
83,BTC,2016-03-24,418.42,416.39,68346700.0,418.68,415.49,3.19,DOWN
84,BTC,2016-03-25,416.51,417.18,52560000.0,418.08,415.56,2.52,UP
85,BTC,2016-03-26,417.37,417.94,44650400.0,418.99,416.26,2.73,UP
86,BTC,2016-03-27,418.14,426.76,71229400.0,428.8,417.71,11.09,UP
87,BTC,2016-03-28,426.55,424.23,68522800.0,426.86,423.29,3.57,DOWN
88,BTC,2016-03-29,424.3,416.52,75411500.0,426.2,412.68,13.52,DOWN
89,BTC,2016-03-30,416.83,414.82,66034100.0,416.83,412.5,4.33,DOWN
90,BTC,2016-03-31,415.26,416.73,60215200.0,418.37,415.26,3.11,UP
91,BTC,2016-04-01,416.76,417.96,51235700.0,418.17,415.83,2.34,UP
92,BTC,2016-04-02,418.42,420.87,45681200.0,422.08,418.42,3.66,UP
93,BTC,2016-04-03,421.17,420.9,38053700.0,421.58,419.7,1.88,DOWN
94,BTC,2016-04-04,421.3,421.44,50634300.0,422.34,419.6,2.74,UP
95,BTC,2016-04-05,421.02,424.03,60718000.0,424.26,420.61,3.65,UP
96,BTC,2016-04-06,424.28,423.41,59091000.0,424.53,422.73,1.8,DOWN
97,BTC,2016-04-07,423.62,422.75,57858600.0,423.66,420.52,3.14,DOWN
98,BTC,2016-04-08,422.91,420.35,63454700.0,425.36,419.63,5.73,DOWN
99,BTC,2016-04-09,420.81,419.41,49792700.0,420.89,416.51,4.38,DOWN
100,BTC,2016-04-10,419.59,421.56,73478600.0,422.44,419.26,3.18,UP
101,BTC,2016-04-11,421.87,422.48,50747500.0,422.74,420.53,2.21,UP
102,BTC,2016-04-12,422.84,425.19,70728800.0,427.28,422.84,4.44,UP
103,BTC,2016-04-13,425.63,423.73,69060400.0,426.66,422.92,3.74,DOWN
104,BTC,2016-04-14,423.94,424.28,45281000.0,425.37,423.01,2.36,UP
105,BTC,2016-04-15,424.43,429.71,54801500.0,429.93,424.43,5.5,UP
106,BTC,2016-04-16,429.57,430.57,39392800.0,432.63,428.98,3.65,UP
107,BTC,2016-04-17,430.64,427.4,52125900.0,431.37,426.08,5.29,DOWN
108,BTC,2016-04-18,427.61,428.59,55670900.0,429.27,427.09,2.18,UP
109,BTC,2016-04-19,428.7,435.51,52810500.0,436.02,428.1,7.92,UP
110,BTC,2016-04-20,435.32,441.39,72890100.0,443.05,434.41,8.64,UP
